ARR_DELAY,count(ARR_DELAY)
-238.0,1
-235.0,1
-202.0,1
-194.0,1
-173.0,1
-165.0,1
-152.0,1
-151.0,1
-148.0,1
-133.0,1
-120.0,1
-119.0,1
-117.0,2
-112.0,1
-108.0,2
-107.0,2
-106.0,2
-105.0,1
-104.0,1
-102.0,3
-101.0,1
-100.0,2
-99.0,1
-98.0,5
-97.0,2
-96.0,1
-94.0,5
-93.0,3
-92.0,5
-91.0,4
-90.0,3
-89.0,5
-88.0,9
-87.0,8
-86.0,7
-85.0,11
-84.0,10
-83.0,18
-82.0,19
-81.0,25
-80.0,23
-79.0,28
-78.0,30
-77.0,33
-76.0,32
-75.0,43
-74.0,47
-73.0,71
-72.0,75
-71.0,89
-70.0,119
-69.0,138
-68.0,146
-67.0,190
-66.0,216
-65.0,265
-64.0,299
-63.0,346
-62.0,457
-61.0,507
-60.0,657
-59.0,705
-58.0,871
-57.0,1050
-56.0,1226
-55.0,1442
-54.0,1795
-53.0,2096
-52.0,2426
-51.0,2952
-50.0,3315
-49.0,4172
-48.0,5031
-47.0,5882
-46.0,6896
-45.0,8329
-44.0,9571
-43.0,11717
-42.0,13746
-41.0,16364
-40.0,19455
-39.0,23140
-38.0,27116
-37.0,32254
-36.0,38130
-35.0,45228
-34.0,53499
-33.0,62765
-32.0,73691
-31.0,86061
-30.0,101296
-29.0,117657
-28.0,138017
-27.0,160252
-26.0,185480
-25.0,214073
-24.0,244952
-23.0,279671
-22.0,315869
-21.0,357063
-20.0,399681
-19.0,442615
-18.0,486830
-17.0,531500
-16.0,571290
-15.0,614052
-14.0,646912
-13.0,678962
-12.0,701113
-11.0,718546
-10.0,726973
-9.0,726654
-8.0,720010
-7.0,704427
-6.0,682033
-5.0,656035
-4.0,624824
-3.0,589788
-2.0,557048
-1.0,520832
0.0,492939
1.0,447902
2.0,414539
3.0,385132
4.0,354710
5.0,331455
6.0,305703
7.0,283504
8.0,262287
9.0,242665
10.0,227007
11.0,211856
12.0,197506
13.0,184698
14.0,172590
15.0,160122
16.0,150612
17.0,141163
18.0,133497
19.0,125213
20.0,119079
21.0,112577
22.0,106795
23.0,101316
24.0,96266
25.0,91728
26.0,86545
27.0,82235
28.0,78605
29.0,75085
30.0,72595
31.0,68980
32.0,65796
33.0,63778
34.0,60917
35.0,58603
36.0,56066
37.0,53708
38.0,52377
39.0,50229
40.0,49013
41.0,46994
42.0,45320
43.0,43742
44.0,41911
45.0,40675
46.0,39711
47.0,38554
48.0,37110
49.0,35917
50.0,35197
51.0,33980
52.0,33189
53.0,32075
54.0,30988
55.0,30535
56.0,29419
57.0,28690
58.0,27843
59.0,27041
60.0,26613
61.0,25652
62.0,24918
63.0,24206
64.0,23681
65.0,23455
66.0,22903
67.0,22213
68.0,21605
69.0,21202
70.0,20730
71.0,20238
72.0,19686
73.0,19496
74.0,19074
75.0,18467
76.0,18101
77.0,17729
78.0,17213
79.0,16763
80.0,16799
81.0,16247
82.0,15656
83.0,15676
84.0,15170
85.0,14806
86.0,14783
87.0,14384
88.0,14239
89.0,13729
90.0,13507
91.0,13249
92.0,12999
93.0,12720
94.0,12382
95.0,12184
96.0,12208
97.0,11747
98.0,11591
99.0,11291
100.0,11166
101.0,10810
102.0,10768
103.0,10444
104.0,10224
105.0,10201
106.0,9991
107.0,9794
108.0,9607
109.0,9315
110.0,9299
111.0,9260
112.0,9102
113.0,8859
114.0,8603
115.0,8447
116.0,8301
117.0,8405
118.0,8162
119.0,7879
120.0,7900
121.0,7685
122.0,7461
123.0,7394
124.0,7365
125.0,7301
126.0,6921
127.0,6899
128.0,6880
129.0,6699
130.0,6657
131.0,6404
132.0,6251
133.0,6156
134.0,6158
135.0,6116
136.0,6080
137.0,5845
138.0,5797
139.0,5692
140.0,5647
141.0,5526
142.0,5495
143.0,5369
144.0,5291
145.0,5190
146.0,5163
147.0,4952
148.0,4660
149.0,4950
