DEP_DELAY,count(DEP_DELAY)
-234.0,1
-229.0,1
-204.0,1
-201.0,1
-188.0,1
-183.0,1
-151.0,1
-149.0,1
-148.0,1
-136.0,1
-130.0,1
-123.0,1
-122.0,1
-120.0,1
-114.0,1
-112.0,1
-111.0,1
-109.0,1
-99.0,1
-92.0,2
-91.0,1
-90.0,2
-84.0,1
-82.0,2
-80.0,1
-74.0,1
-72.0,1
-68.0,2
-67.0,1
-66.0,1
-64.0,2
-63.0,3
-61.0,1
-60.0,5
-59.0,4
-58.0,5
-57.0,3
-56.0,8
-55.0,4
-54.0,5
-53.0,5
-52.0,7
-51.0,7
-50.0,10
-49.0,12
-48.0,12
-47.0,17
-46.0,14
-45.0,19
-44.0,17
-43.0,31
-42.0,32
-41.0,26
-40.0,48
-39.0,53
-38.0,70
-37.0,80
-36.0,82
-35.0,132
-34.0,116
-33.0,133
-32.0,188
-31.0,215
-30.0,318
-29.0,448
-28.0,550
-27.0,766
-26.0,1057
-25.0,1514
-24.0,2006
-23.0,2669
-22.0,3770
-21.0,5464
-20.0,8522
-19.0,11515
-18.0,16602
-17.0,24387
-16.0,35739
-15.0,58583
-14.0,81028
-13.0,120418
-12.0,179085
-11.0,263584
-10.0,512392
-9.0,600354
-8.0,836086
-7.0,1137859
-6.0,1450512
-5.0,1885975
-4.0,1866100
-3.0,1866396
-2.0,1733167
-1.0,1518390
0.0,1271707
1.0,602778
2.0,461115
3.0,399509
4.0,356122
5.0,325447
6.0,291921
7.0,266378
8.0,246559
9.0,228342
10.0,214696
11.0,194848
12.0,181975
13.0,169635
14.0,160357
15.0,151271
16.0,139857
17.0,132011
18.0,124946
19.0,118676
20.0,114574
21.0,104983
22.0,100742
23.0,95204
24.0,91312
25.0,88698
26.0,82695
27.0,79346
28.0,75948
29.0,73009
30.0,71380
31.0,66137
32.0,63843
33.0,61492
34.0,59537
35.0,57587
36.0,54455
37.0,52464
38.0,51182
39.0,49623
40.0,48148
41.0,45611
42.0,44331
43.0,43005
44.0,41776
45.0,41706
46.0,39280
47.0,37801
48.0,36729
49.0,35674
50.0,35337
51.0,33947
52.0,32997
53.0,31851
54.0,31375
55.0,30746
56.0,29538
57.0,28768
58.0,28246
59.0,27597
60.0,27572
61.0,25883
62.0,24805
63.0,24341
64.0,23677
65.0,23623
66.0,22718
67.0,22389
68.0,21607
69.0,21125
70.0,21205
71.0,20123
72.0,19541
73.0,19211
74.0,18828
75.0,18581
76.0,18091
77.0,17599
78.0,17248
79.0,16776
80.0,16944
81.0,16126
82.0,15828
83.0,15508
84.0,15252
85.0,15478
86.0,14792
87.0,14119
88.0,14118
89.0,13831
90.0,13931
91.0,13057
92.0,12882
93.0,12688
94.0,12315
95.0,12482
96.0,11964
97.0,11816
98.0,11542
99.0,11238
100.0,11270
101.0,10930
102.0,10668
103.0,10386
104.0,10283
105.0,10278
106.0,9865
107.0,9764
108.0,9643
109.0,9332
110.0,9464
111.0,8979
112.0,8921
113.0,8882
114.0,8838
115.0,8733
116.0,8348
117.0,8326
118.0,7967
119.0,7780
120.0,7945
121.0,7515
122.0,7426
123.0,7505
124.0,7136
125.0,7196
126.0,6980
127.0,6770
128.0,6656
129.0,6613
130.0,6729
131.0,6421
132.0,6262
133.0,6187
134.0,6238
135.0,6044
136.0,5855
137.0,5802
138.0,5629
139.0,5613
140.0,5587
141.0,5473
142.0,5291
143.0,5279
144.0,5196
145.0,5166
146.0,4976
147.0,5003
148.0,4793
149.0,4822
150.0,4848
151.0,4662
152.0,4671
153.0,4455
154.0,4412
155.0,4413
156.0,4203
157.0,4312
158.0,4194
159.0,4143
160.0,4172
161.0,4017
162.0,3808
163.0,3904
164.0,3771
165.0,3744
166.0,3679
167.0,3580
168.0,3650
169.0,3573
170.0,3587
171.0,3427
172.0,3317
173.0,3312
174.0,3276
